ID,Pipeline,PipelineStage,Notes,TranslationNotes,Tags,Text
1,,,Mod name.,,,Macro Trainer
2,,,Mod description.,,,Provides multiple modes/settings for adjusting gameplay to help new players develop RTS skills
3,,,,,,Macro Trainer
4,,,Normal phase objective title.,,,NORMAL
5,,,Slowed phase objective title.,,,SLOW
6,,,Game option section name.,,,Macro Trainer Settings
7,,,Normal duration option name.,,,Normal Duration
8,,,Normal duration option tooltip.,,,Seconds of normal-speed gameplay in each cycle (1-300).
9,,,Slow duration option name.,,,Slow Duration
10,,,Slow duration option tooltip.,,,Seconds of slowed gameplay in each cycle (1-300).
11,,,Slow simulation rate option name.,,,Slow Simulation Rate
12,,,Slow simulation rate option tooltip.,,,Simulation rate used during the slowed phase (1 is slowest; 7 is nearly normal).
13,,,Slow simulation rate value.,,,1
14,,,Slow simulation rate value.,,,2
15,,,Slow simulation rate value.,,,3
16,,,Slow simulation rate value.,,,4
17,,,Slow simulation rate value.,,,5
18,,,Slow simulation rate value.,,,6
19,,,Slow simulation rate value.,,,7
20,,,Build order option name.,,,Build Order
21,,,Build order option tooltip.,,,Choose a generated build order to practice.
22,,,Build order value.,,,None
23,,,Sim-rate cycle option name.,,,Enable Slow/Normal Cycle
24,,,Sim-rate cycle option tooltip.,,,Alternate between configured normal-speed and slowed planning phases.
25,,,Startup no-systems title.,,,No Training Systems Enabled
26,,,Startup no-systems message.,,,The mod is not intended to be played with both off.
27,,,Startup invalid-build title.,,,Build Order Disabled
28,,,Startup missing-build value.,,,Selected build order is unavailable.
29,,,Startup build-order chooser title.,,,Choose a Build Order
30,,,Startup no-selection message.,,,No lobby build order was selected.
